time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0002,0.0001,0.0001,0.0000
0.1000,0.0000,0.0017,0.0006,0.0009,0.0004
0.1500,0.0000,0.0055,0.0019,0.0029,0.0012
0.2000,0.0000,0.0126,0.0043,0.0067,0.0029
0.2500,0.0000,0.0239,0.0084,0.0130,0.0056
0.3000,0.0000,0.0402,0.0144,0.0222,0.0095
0.3500,0.0000,0.0621,0.0227,0.0349,0.0148
0.4000,0.0000,0.0901,0.0335,0.0515,0.0217
0.4500,0.0000,0.1246,0.0473,0.0724,0.0305
0.5000,0.0000,0.1660,0.0643,0.0981,0.0412
0.5500,0.0000,0.2146,0.0848,0.1290,0.0539
0.6000,0.0000,0.2706,0.1091,0.1655,0.0689
0.6500,0.0000,0.3340,0.1374,0.2078,0.0862
0.7000,0.0000,0.4049,0.1701,0.2564,0.1059
0.7500,0.0000,0.4832,0.2073,0.3116,0.1282
0.8000,0.0000,0.5689,0.2493,0.3735,0.1531
0.8500,0.0000,0.6619,0.2962,0.4425,0.1807
0.9000,0.0000,0.7620,0.3484,0.5189,0.2110
0.9500,0.0000,0.8688,0.4059,0.6027,0.2440
1.0000,0.0000,0.9822,0.4691,0.6943,0.2799
1.0500,0.0000,1.1019,0.5380,0.7939,0.3187
1.1000,0.0000,1.2275,0.6128,0.9014,0.3603
1.1500,0.0000,1.3586,0.6937,1.0172,0.4048
1.2000,0.0000,1.4949,0.7808,1.1413,0.4522
1.2500,0.0000,1.6359,0.8743,1.2739,0.5024
1.3000,0.0000,1.7813,0.9742,1.4150,0.5555
1.3500,0.0000,1.9306,1.0808,1.5647,0.6115
1.4000,0.0000,2.0834,1.1941,1.7231,0.6702
1.4500,0.0000,2.2391,1.3141,1.8902,0.7317
1.5000,0.0000,2.3975,1.4411,2.0661,0.7959
1.5500,0.0000,2.5579,1.5750,2.2507,0.8628
1.6000,0.0000,2.7200,1.7160,2.4444,0.9326
