time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0001,0.0000,0.0000
0.1000,0.0000,0.0000,0.0005,0.0000,0.0004
0.1500,0.0000,0.0000,0.0017,0.0000,0.0012
0.2000,0.0000,0.0000,0.0040,0.0000,0.0028
0.2500,0.0000,0.0000,0.0077,0.0000,0.0054
0.3000,0.0000,0.0000,0.0131,0.0000,0.0092
0.3500,0.0000,0.0000,0.0204,0.0000,0.0145
0.4000,0.0000,0.0000,0.0301,0.0000,0.0214
0.4500,0.0000,0.0000,0.0421,0.0000,0.0303
0.5000,0.0000,0.0000,0.0569,0.0000,0.0412
0.5500,0.0000,0.0000,0.0745,0.0000,0.0544
0.6000,0.0000,0.0000,0.0952,0.0000,0.0700
0.6500,0.0000,0.0000,0.1192,0.0000,0.0882
0.7000,0.0000,0.0000,0.1465,0.0000,0.1093
0.7500,0.0000,0.0000,0.1772,0.0000,0.1333
0.8000,0.0000,0.0000,0.2116,0.0000,0.1604
0.8500,0.0000,0.0000,0.2496,0.0000,0.1908
0.9000,0.0000,0.0001,0.2915,0.0000,0.2246
0.9500,0.0000,0.0003,0.3371,0.0000,0.2619
1.0000,0.0000,0.0009,0.3866,0.0000,0.3029
1.0500,0.0000,0.0017,0.4400,0.0000,0.3476
1.1000,0.0000,0.0030,0.4973,0.0000,0.3963
1.1500,0.0000,0.0049,0.5585,0.0000,0.4489
1.2000,0.0000,0.0073,0.6236,0.0000,0.5057
1.2500,0.0000,0.0104,0.6925,0.0000,0.5666
1.3000,0.0000,0.0144,0.7653,0.0000,0.6318
1.3500,0.0000,0.0191,0.8419,0.0000,0.7013
1.4000,0.0000,0.0249,0.9223,0.0000,0.7753
1.4500,0.0000,0.0316,1.0063,0.0000,0.8538
1.5000,0.0000,0.0395,1.0938,0.0000,0.9368
1.5500,0.0000,0.0485,1.1849,0.0000,1.0245
1.6000,0.0000,0.0588,1.2793,0.0000,1.1168
1.6500,0.0000,0.0704,1.3770,0.0000,1.2139
1.7000,0.0000,0.0834,1.4778,0.0000,1.3157
1.7500,0.0000,0.0978,1.5817,0.0000,1.4223
1.8000,0.0000,0.1138,1.6885,0.0000,1.5337
