time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0002,0.0000,0.0001,0.0001
0.1000,0.0000,0.0015,0.0004,0.0004,0.0011
0.1500,0.0000,0.0049,0.0012,0.0014,0.0037
0.2000,0.0000,0.0112,0.0029,0.0033,0.0087
0.2500,0.0000,0.0215,0.0056,0.0065,0.0167
0.3000,0.0000,0.0362,0.0095,0.0111,0.0284
0.3500,0.0000,0.0562,0.0148,0.0175,0.0444
0.4000,0.0000,0.0818,0.0217,0.0259,0.0652
0.4500,0.0000,0.1137,0.0305,0.0366,0.0914
0.5000,0.0000,0.1522,0.0412,0.0498,0.1235
0.5500,0.0000,0.1976,0.0539,0.0658,0.1617
0.6000,0.0000,0.2501,0.0689,0.0847,0.2067
0.6500,0.0000,0.3100,0.0862,0.1068,0.2586
0.7000,0.0000,0.3774,0.1059,0.1323,0.3178
0.7500,0.0000,0.4522,0.1282,0.1613,0.3846
0.8000,0.0000,0.5346,0.1531,0.1941,0.4593
0.8500,0.0000,0.6243,0.1807,0.2309,0.5420
0.9000,0.0000,0.7213,0.2110,0.2717,0.6329
0.9500,0.0000,0.8255,0.2440,0.3168,0.7321
1.0000,0.0000,0.9365,0.2802,0.3663,0.8398
1.0500,0.0000,1.0542,0.3198,0.4204,0.9561
1.1000,0.0000,1.1782,0.3631,0.4790,1.0809
1.1500,0.0000,1.3081,0.4107,0.5425,1.2144
1.2000,0.0000,1.4437,0.4627,0.6108,1.3566
1.2500,0.0000,1.5844,0.5194,0.6841,1.5073
1.3000,0.0000,1.7298,0.5813,0.7625,1.6666
1.3500,0.0000,1.8795,0.6485,0.8460,1.8344
1.4000,0.0000,2.0330,0.7213,0.9347,2.0106
1.4500,0.0000,2.1896,0.7999,1.0287,2.1951
1.5000,0.0000,2.3490,0.8846,1.1281,2.3877
1.5500,0.0000,2.5106,0.9757,1.2328,2.5885
1.6000,0.0000,2.6737,1.0735,1.3429,2.7978
1.6500,0.0000,2.8379,1.1785,1.4584,3.0165
1.7000,0.0000,3.0025,1.2912,1.5794,3.2449
1.7500,0.0000,3.1669,1.4118,1.7059,3.4835
1.8000,0.0000,3.3307,1.5409,1.8378,3.7327
1.8500,0.0000,3.4932,1.6786,1.9752,3.9930
1.9000,0.0000,3.6539,1.8253,2.1180,4.2644
1.9500,0.0000,3.8122,1.9812,2.2662,4.5474
2.0000,0.0000,3.9675,2.1467,2.4198,4.8421
2.0500,0.0000,4.1194,2.3218,2.5787,5.1485
2.1000,0.0000,4.2673,2.5069,2.7430,5.4667
2.1500,0.0000,4.4107,2.7021,2.9124,5.7969
2.2000,0.0000,4.5492,2.9076,3.0871,6.1389
2.2500,0.0000,4.6824,3.1234,3.2668,6.4927
2.3000,0.0000,4.8098,3.3497,3.4516,6.8582
2.3500,0.0000,4.9311,3.5866,3.6413,7.2353
2.4000,0.0000,5.0459,3.8340,3.8359,7.6237
2.4500,0.0000,5.1540,4.0922,4.0353,8.0232
2.5000,0.0000,5.2550,4.3611,4.2393,8.4336
2.5500,0.0000,5.3489,4.6406,4.4478,8.8545
2.6000,0.0000,5.4354,4.9309,4.6608,9.2857
2.6500,0.0000,5.5145,5.2318,4.8781,9.7268
2.7000,0.0000,5.5861,5.5434,5.0995,10.1775
2.7500,0.0000,5.6502,5.8655,5.3250,10.6372
2.8000,0.0000,5.7069,6.1982,5.5545,11.1056
2.8500,0.0000,5.7563,6.5412,5.7876,11.5822
2.9000,0.0000,5.7986,6.8945,6.0244,12.0665
2.9500,0.0000,5.8342,7.2581,6.2647,12.5581
3.0000,0.0000,5.8633,7.6317,6.5083,13.0564
3.0500,0.0000,5.8863,8.0152,6.7549,13.5609
3.1000,0.0000,5.9028,8.4085,7.0043,14.0715
3.1500,0.0000,5.9126,8.8114,7.2559,14.5879
3.2000,0.0000,5.9158,9.2237,7.5094,15.1099
3.2500,0.0000,5.9124,9.6453,7.7643,15.6374
3.3000,0.0000,5.9028,10.0759,8.0202,16.1700
3.3500,0.0000,5.8876,10.5154,8.2768,16.7073
3.4000,0.0000,5.8676,10.9636,8.5337,17.2491
3.4500,0.0000,5.8427,11.4201,8.7905,17.7950
3.5000,0.0000,5.8123,11.8849,9.0469,18.3446
3.5500,0.0000,5.7759,12.3577,9.3025,18.8974
3.6000,0.0000,5.7328,12.8381,9.5570,19.4530
3.6500,0.0000,5.6827,13.3261,9.8101,20.0110
3.7000,0.0000,5.6252,13.8213,10.0616,20.5708
3.7500,0.0000,5.5602,14.3236,10.3110,21.1320
3.8000,0.0000,5.4876,14.8325,10.5582,21.6939
3.8500,0.0000,5.4073,15.3479,10.8028,22.2561
3.9000,0.0000,5.3193,15.8695,11.0446,22.8181
3.9500,0.0000,5.2238,16.3970,11.2834,23.3792
4.0000,0.0000,5.1210,16.9302,11.5188,23.9389
4.0500,0.0000,5.0112,17.4688,11.7508,24.4966
4.1000,0.0000,4.8945,18.0125,11.9790,25.0517
4.1500,0.0000,4.7715,18.5610,12.2033,25.6037
4.2000,0.0000,4.6424,19.1140,12.4235,26.1519
4.2500,0.0000,4.5078,19.6713,12.6393,26.6957
4.3000,0.0000,4.3680,20.2326,12.8506,27.2345
4.3500,0.0000,4.2238,20.7976,13.0573,27.7677
4.4000,0.0000,4.0754,21.3661,13.2592,28.2948
4.4500,0.0000,3.9237,21.9376,13.4561,28.8150
4.5000,0.0000,3.7690,22.5120,13.6480,29.3279
4.5500,0.0000,3.6122,23.0890,13.8345,29.8330
4.6000,0.0000,3.4539,23.6683,14.0152,30.3303
4.6500,0.0000,3.2952,24.2496,14.1894,30.8201
4.7000,0.0000,3.1369,24.8326,14.3564,31.3025
4.7500,0.0000,2.9798,25.4172,14.5159,31.7777
4.8000,0.0000,2.8248,26.0029,14.6672,32.2457
4.8500,0.0000,2.6726,26.5896,14.8100,32.7067
4.9000,0.0000,2.5242,27.1769,14.9438,33.1606
4.9500,0.0000,2.3802,27.7647,15.0682,33.6074
5.0000,0.0000,2.2415,28.3526,15.1829,34.0470
5.0500,0.0000,2.1086,28.9404,15.2876,34.4795
5.1000,0.0000,1.9824,29.5279,15.3821,34.9048
5.1500,0.0000,1.8634,30.1148,15.4660,35.3226
5.2000,0.0000,1.7522,30.7009,15.5393,35.7329
5.2500,0.0000,1.6495,31.2859,15.6018,36.1356
5.3000,0.0000,1.5557,31.8696,15.6534,36.5304
5.3500,0.0000,1.4713,32.4518,15.6939,36.9172
5.4000,0.0000,1.3968,33.0323,15.7233,37.2957
5.4500,0.0000,1.3326,33.6107,15.7417,37.6658
5.5000,0.0000,1.2790,34.1871,15.7491,38.0273
5.5500,0.0000,1.2364,34.7610,15.7454,38.3799
5.6000,0.0000,1.2050,35.3324,15.7308,38.7234
5.6500,0.0000,1.1850,35.9010,15.7054,39.0574
5.7000,0.0000,1.1766,36.4666,15.6694,39.3819
5.7500,0.0000,1.1799,37.0291,15.6229,39.6965
5.8000,0.0000,1.1950,37.5883,15.5662,40.0010
5.8500,0.0000,1.2220,38.1441,15.4994,40.2951
5.9000,0.0000,1.2607,38.6962,15.4229,40.5786
5.9500,0.0000,1.3111,39.2444,15.3369,40.8512
6.0000,0.0000,1.3731,39.7888,15.2419,41.1127
6.0500,0.0000,1.4466,40.3291,15.1382,41.3628
6.1000,0.0000,1.5316,40.8655,15.0269,41.6013
6.1500,0.0000,1.6281,41.3980,14.9094,41.8279
6.2000,0.0000,1.7360,41.9269,14.7867,42.0425
6.2500,0.0000,1.8551,42.4521,14.6599,42.2448
6.3000,0.0000,1.9854,42.9739,14.5303,42.4346
6.3500,0.0000,2.1266,43.4924,14.3990,42.6117
6.4000,0.0000,2.2783,44.0075,14.2671,42.7759
6.4500,0.0000,2.4402,44.5194,14.1356,42.9271
6.5000,0.0000,2.6120,45.0282,14.0056,43.0650
6.5500,0.0000,2.7931,45.5340,13.8783,43.1896
6.6000,0.0000,2.9830,46.0367,13.7545,43.3006
6.6500,0.0000,3.1813,46.5365,13.6354,43.3980
6.7000,0.0000,3.3872,47.0333,13.5221,43.4816
6.7500,0.0000,3.6002,47.5273,13.4154,43.5514
6.8000,0.0000,3.8197,48.0185,13.3164,43.6073
6.8500,0.0000,4.0448,48.5069,13.2261,43.6492
