time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0003,0.0002,0.0000
0.1500,0.0000,0.0000,0.0009,0.0007,0.0000
0.2000,0.0000,0.0000,0.0021,0.0016,0.0000
0.2500,0.0000,0.0000,0.0042,0.0032,0.0000
0.3000,0.0000,0.0000,0.0071,0.0055,0.0000
0.3500,0.0000,0.0000,0.0112,0.0087,0.0000
0.4000,0.0000,0.0000,0.0166,0.0129,0.0000
0.4500,0.0000,0.0000,0.0235,0.0182,0.0000
0.5000,0.0000,0.0000,0.0319,0.0248,0.0000
0.5500,0.0000,0.0000,0.0422,0.0328,0.0000
0.6000,0.0000,0.0000,0.0543,0.0423,0.0000
0.6500,0.0000,0.0000,0.0685,0.0535,0.0000
0.7000,0.0000,0.0000,0.0848,0.0663,0.0000
0.7500,0.0000,0.0000,0.1035,0.0811,0.0000
0.8000,0.0000,0.0000,0.1245,0.0978,0.0000
0.8500,0.0000,0.0000,0.1481,0.1165,0.0000
0.9000,0.0000,0.0000,0.1744,0.1374,0.0000
0.9500,0.0000,0.0000,0.2034,0.1606,0.0000
1.0000,0.0000,0.0000,0.2352,0.1861,0.0000
1.0500,0.0000,0.0000,0.2700,0.2140,0.0000
1.1000,0.0000,0.0000,0.3078,0.2445,0.0000
1.1500,0.0000,0.0001,0.3487,0.2775,0.0000
1.2000,0.0000,0.0004,0.3928,0.3132,0.0000
1.2500,0.0000,0.0010,0.4401,0.3517,0.0000
1.3000,0.0000,0.0020,0.4908,0.3930,0.0000
1.3500,0.0000,0.0036,0.5449,0.4372,0.0000
1.4000,0.0000,0.0058,0.6024,0.4844,0.0000
1.4500,0.0000,0.0087,0.6635,0.5346,0.0000
1.5000,0.0000,0.0125,0.7281,0.5879,0.0001
1.5500,0.0000,0.0172,0.7963,0.6443,0.0002
1.6000,0.0000,0.0229,0.8681,0.7039,0.0005
1.6500,0.0000,0.0298,0.9437,0.7668,0.0010
1.7000,0.0000,0.0378,1.0229,0.8330,0.0017
1.7500,0.0000,0.0472,1.1058,0.9025,0.0028
1.8000,0.0000,0.0579,1.1926,0.9754,0.0042
1.8500,0.0000,0.0702,1.2831,1.0518,0.0060
1.9000,0.0000,0.0839,1.3774,1.1316,0.0082
1.9500,0.0000,0.0994,1.4755,1.2149,0.0109
2.0000,0.0000,0.1165,1.5774,1.3017,0.0141
2.0500,0.0000,0.1354,1.6831,1.3922,0.0179
2.1000,0.0000,0.1562,1.7927,1.4862,0.0224
2.1500,0.0000,0.1789,1.9060,1.5838,0.0275
2.2000,0.0000,0.2036,2.0232,1.6850,0.0333
2.2500,0.0000,0.2304,2.1442,1.7900,0.0398
2.3000,0.0000,0.2593,2.2689,1.8985,0.0472
2.3500,0.0000,0.2905,2.3974,2.0108,0.0553
2.4000,0.0000,0.3238,2.5296,2.1268,0.0643
2.4500,0.0000,0.3595,2.6656,2.2465,0.0743
2.5000,0.0000,0.3976,2.8052,2.3699,0.0851
2.5500,0.0000,0.4381,2.9485,2.4970,0.0970
2.6000,0.0000,0.4811,3.0953,2.6279,0.1098
2.6500,0.0000,0.5267,3.2458,2.7625,0.1237
2.7000,0.0000,0.5748,3.3998,2.9008,0.1387
2.7500,0.0000,0.6255,3.5573,3.0428,0.1548
2.8000,0.0000,0.6790,3.7183,3.1885,0.1720
2.8500,0.0000,0.7351,3.8826,3.3380,0.1904
2.9000,0.0000,0.7941,4.0503,3.4911,0.2100
2.9500,0.0000,0.8558,4.2213,3.6479,0.2309
3.0000,0.0000,0.9204,4.3956,3.8084,0.2530
3.0500,0.0000,0.9878,4.5730,3.9725,0.2765
3.1000,0.0000,1.0582,4.7535,4.1403,0.3012
3.1500,0.0000,1.1315,4.9370,4.3117,0.3274
3.2000,0.0000,1.2078,5.1236,4.4867,0.3549
3.2500,0.0000,1.2872,5.3131,4.6652,0.3838
3.3000,0.0000,1.3695,5.5054,4.8473,0.4141
3.3500,0.0000,1.4549,5.7005,5.0329,0.4460
3.4000,0.0000,1.5435,5.8982,5.2219,0.4793
3.4500,0.0000,1.6351,6.0986,5.4145,0.5141
3.5000,0.0000,1.7298,6.3016,5.6104,0.5504
3.5500,0.0000,1.8278,6.5070,5.8097,0.5883
3.6000,0.0000,1.9288,6.7147,6.0124,0.6278
3.6500,0.0000,2.0331,6.9248,6.2184,0.6689
3.7000,0.0000,2.1406,7.1371,6.4276,0.7115
3.7500,0.0000,2.2513,7.3515,6.6401,0.7559
3.8000,0.0000,2.3652,7.5679,6.8557,0.8019
3.8500,0.0000,2.4824,7.7863,7.0745,0.8495
3.9000,0.0000,2.6028,8.0065,7.2964,0.8989
3.9500,0.0000,2.7264,8.2284,7.5213,0.9499
4.0000,0.0000,2.8533,8.4521,7.7492,1.0027
4.0500,0.0000,2.9835,8.6773,7.9801,1.0573
4.1000,0.0000,3.1170,8.9039,8.2138,1.1136
4.1500,0.0000,3.2537,9.1320,8.4504,1.1716
4.2000,0.0000,3.3937,9.3613,8.6898,1.2315
4.2500,0.0000,3.5369,9.5918,8.9319,1.2932
4.3000,0.0000,3.6835,9.8234,9.1767,1.3566
4.3500,0.0000,3.8332,10.0559,9.4242,1.4220
4.4000,0.0000,3.9863,10.2893,9.6741,1.4891
4.4500,0.0000,4.1426,10.5235,9.9266,1.5581
4.5000,0.0000,4.3021,10.7584,10.1815,1.6289
4.5500,0.0000,4.4648,10.9938,10.4388,1.7017
4.6000,0.0000,4.6308,11.2297,10.6984,1.7763
4.6500,0.0000,4.8000,11.4660,10.9603,1.8528
4.7000,0.0000,4.9724,11.7025,11.2243,1.9312
4.7500,0.0000,5.1479,11.9392,11.4905,2.0115
4.8000,0.0000,5.3267,12.1760,11.7587,2.0937
4.8500,0.0000,5.5085,12.4127,12.0289,2.1778
4.9000,0.0000,5.6935,12.6492,12.3010,2.2639
4.9500,0.0000,5.8817,12.8855,12.5749,2.3519
5.0000,0.0000,6.0729,13.1214,12.8507,2.4418
5.0500,0.0000,6.2672,13.3568,13.1281,2.5337
5.1000,0.0000,6.4645,13.5917,13.4072,2.6275
5.1500,0.0000,6.6648,13.8259,13.6878,2.7233
5.2000,0.0000,6.8682,14.0593,13.9699,2.8210
5.2500,0.0000,7.0745,14.2919,14.2534,2.9207
5.3000,0.0000,7.2838,14.5235,14.5383,3.0223
5.3500,0.0000,7.4960,14.7540,14.8244,3.1259
5.4000,0.0000,7.7111,14.9833,15.1117,3.2314
5.4500,0.0000,7.9290,15.2114,15.4002,3.3390
5.5000,0.0000,8.1498,15.4381,15.6897,3.4484
5.5500,0.0000,8.3733,15.6633,15.9801,3.5599
5.6000,0.0000,8.5997,15.8869,16.2714,3.6732
5.6500,0.0000,8.8288,16.1089,16.5635,3.7886
5.7000,0.0000,9.0605,16.3291,16.8564,3.9059
5.7500,0.0000,9.2950,16.5475,17.1499,4.0252
5.8000,0.0000,9.5320,16.7639,17.4440,4.1464
5.8500,0.0000,9.7717,16.9784,17.7385,4.2695
5.9000,0.0000,10.0139,17.1907,18.0335,4.3946
5.9500,0.0000,10.2586,17.4007,18.3289,4.5216
6.0000,0.0000,10.5058,17.6085,18.6244,4.6506
6.0500,0.0000,10.7554,17.8140,18.9202,4.7815
6.1000,0.0000,11.0074,18.0169,19.2161,4.9143
6.1500,0.0000,11.2617,18.2173,19.5120,5.0491
6.2000,0.0000,11.5184,18.4151,19.8078,5.1858
6.2500,0.0000,11.7773,18.6103,20.1035,5.3243
6.3000,0.0000,12.0385,18.8026,20.3989,5.4648
6.3500,0.0000,12.3018,18.9921,20.6941,5.6071
6.4000,0.0000,12.5673,19.1787,20.9889,5.7514
6.4500,0.0000,12.8348,19.3623,21.2833,5.8975
6.5000,0.0000,13.1044,19.5428,21.5771,6.0454
6.5500,0.0000,13.3760,19.7203,21.8703,6.1953
6.6000,0.0000,13.6495,19.8945,22.1628,6.3469
6.6500,0.0000,13.9249,20.0655,22.4546,6.5004
