time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0001,0.0002,0.0000
0.1000,0.0000,0.0004,0.0004,0.0013,0.0000
0.1500,0.0000,0.0013,0.0015,0.0044,0.0000
0.2000,0.0000,0.0030,0.0035,0.0104,0.0000
0.2500,0.0000,0.0058,0.0067,0.0200,0.0000
0.3000,0.0000,0.0099,0.0113,0.0339,0.0000
0.3500,0.0000,0.0156,0.0178,0.0530,0.0000
0.4000,0.0000,0.0230,0.0262,0.0779,0.0000
0.4500,0.0000,0.0326,0.0367,0.1090,0.0000
0.5000,0.0000,0.0444,0.0497,0.1471,0.0000
0.5500,0.0000,0.0586,0.0652,0.1926,0.0000
0.6000,0.0000,0.0755,0.0835,0.2459,0.0000
0.6500,0.0000,0.0953,0.1047,0.3075,0.0000
0.7000,0.0000,0.1181,0.1290,0.3776,0.0000
0.7500,0.0000,0.1441,0.1564,0.4565,0.0000
0.8000,0.0000,0.1736,0.1872,0.5446,0.0000
0.8500,0.0000,0.2067,0.2214,0.6421,0.0000
0.9000,0.0000,0.2434,0.2591,0.7490,0.0000
0.9500,0.0000,0.2841,0.3004,0.8657,0.0000
1.0000,0.0000,0.3288,0.3454,0.9920,0.0000
1.0500,0.0000,0.3777,0.3942,1.1282,0.0000
1.1000,0.0000,0.4309,0.4467,1.2742,0.0000
1.1500,0.0000,0.4886,0.5031,1.4299,0.0000
1.2000,0.0000,0.5508,0.5634,1.5955,0.0000
1.2500,0.0000,0.6176,0.6275,1.7707,0.0000
1.3000,0.0000,0.6893,0.6957,1.9555,0.0000
1.3500,0.0000,0.7658,0.7677,2.1498,0.0000
1.4000,0.0000,0.8474,0.8437,2.3533,0.0000
1.4500,0.0000,0.9340,0.9236,2.5659,0.0000
1.5000,0.0000,1.0257,1.0074,2.7874,0.0000
1.5500,0.0000,1.1226,1.0951,3.0175,0.0000
1.6000,0.0000,1.2242,1.1870,3.2566,0.0004
1.6500,0.0000,1.3301,1.2832,3.5048,0.0012
1.7000,0.0000,1.4398,1.3840,3.7623,0.0029
1.7500,0.0000,1.5530,1.4895,4.0293,0.0056
1.8000,0.0000,1.6693,1.5999,4.3058,0.0095
1.8500,0.0000,1.7882,1.7154,4.5919,0.0148
1.9000,0.0000,1.9096,1.8360,4.8876,0.0217
1.9500,0.0000,2.0330,1.9619,5.1928,0.0305
2.0000,0.0000,2.1581,2.0932,5.5074,0.0412
2.0500,0.0000,2.2848,2.2298,5.8312,0.0539
2.1000,0.0000,2.4128,2.3719,6.1642,0.0689
2.1500,0.0000,2.5418,2.5194,6.5061,0.0862
2.2000,0.0000,2.6717,2.6725,6.8567,0.1059
2.2500,0.0000,2.8023,2.8310,7.2157,0.1282
2.3000,0.0000,2.9333,2.9951,7.5827,0.1531
2.3500,0.0000,3.0647,3.1645,7.9576,0.1807
2.4000,0.0000,3.1963,3.3393,8.3398,0.2110
2.4500,0.0000,3.3281,3.5195,8.7291,0.2440
2.5000,0.0000,3.4599,3.7050,9.1250,0.2799
2.5500,0.0000,3.5916,3.8956,9.5271,0.3187
2.6000,0.0000,3.7232,4.0913,9.9350,0.3603
2.6500,0.0000,3.8546,4.2920,10.3482,0.4048
2.7000,0.0000,3.9857,4.4976,10.7663,0.4522
2.7500,0.0000,4.1167,4.7079,11.1887,0.5024
2.8000,0.0000,4.2473,4.9228,11.6150,0.5555
2.8500,0.0000,4.3778,5.1422,12.0446,0.6115
2.9000,0.0000,4.5079,5.3660,12.4770,0.6702
2.9500,0.0000,4.6378,5.5938,12.9117,0.7317
3.0000,0.0000,4.7676,5.8257,13.3482,0.7959
3.0500,0.0000,4.8971,6.0616,13.7860,0.8629
3.1000,0.0000,5.0266,6.3020,14.2245,0.9330
3.1500,0.0000,5.1560,6.5474,14.6631,1.0067
3.2000,0.0000,5.2854,6.7985,15.1014,1.0845
3.2500,0.0000,5.4149,7.0558,15.5388,1.1667
3.3000,0.0000,5.5445,7.3196,15.9747,1.2537
3.3500,0.0000,5.6744,7.5904,16.4087,1.3458
3.4000,0.0000,5.8047,7.8686,16.8403,1.4432
3.4500,0.0000,5.9353,8.1544,17.2689,1.5463
3.5000,0.0000,6.0666,8.4482,17.6940,1.6552
3.5500,0.0000,6.1984,8.7500,18.1152,1.7701
3.6000,0.0000,6.3310,9.0602,18.5320,1.8911
3.6500,0.0000,6.4645,9.3788,18.9440,2.0185
3.7000,0.0000,6.5990,9.7060,19.3506,2.1523
3.7500,0.0000,6.7347,10.0417,19.7514,2.2925
3.8000,0.0000,6.8715,10.3861,20.1462,2.4392
3.8500,0.0000,7.0097,10.7391,20.5344,2.5924
3.9000,0.0000,7.1495,11.1008,20.9157,2.7522
3.9500,0.0000,7.2908,11.4709,21.2899,2.9184
4.0000,0.0000,7.4339,11.8495,21.6564,3.0911
4.0500,0.0000,7.5789,12.2363,22.0152,3.2702
4.1000,0.0000,7.7259,12.6313,22.3658,3.4556
4.1500,0.0000,7.8751,13.0343,22.7081,3.6471
4.2000,0.0000,8.0265,13.4450,23.0419,3.8447
4.2500,0.0000,8.1804,13.8633,23.3669,4.0482
4.3000,0.0000,8.3368,14.2888,23.6831,4.2574
4.3500,0.0000,8.4959,14.7214,23.9903,4.4722
4.4000,0.0000,8.6577,15.1608,24.2884,4.6924
4.4500,0.0000,8.8225,15.6065,24.5774,4.9177
4.5000,0.0000,8.9903,16.0584,24.8572,5.1480
4.5500,0.0000,9.1614,16.5162,25.1281,5.3831
4.6000,0.0000,9.3363,16.9796,25.3909,5.6225
4.6500,0.0000,9.5157,17.4486,25.6463,5.8663
4.7000,0.0000,9.7002,17.9232,25.8950,6.1139
4.7500,0.0000,9.8903,18.4030,26.1372,6.3653
4.8000,0.0000,10.0866,18.8880,26.3732,6.6200
4.8500,0.0000,10.2895,19.3780,26.6030,6.8779
4.9000,0.0000,10.4996,19.8727,26.8268,7.1386
4.9500,0.0000,10.7172,20.3718,27.0447,7.4018
5.0000,0.0000,10.9428,20.8751,27.2568,7.6672
5.0500,0.0000,11.1768,21.3824,27.4630,7.9344
5.1000,0.0000,11.4193,21.8932,27.6636,8.2033
5.1500,0.0000,11.6709,22.4073,27.8585,8.4733
5.2000,0.0000,11.9317,22.9244,28.0476,8.7443
5.2500,0.0000,12.2020,23.4441,28.2311,9.0159
5.3000,0.0000,12.4820,23.9660,28.4089,9.2877
5.3500,0.0000,12.7718,24.4898,28.5810,9.5595
5.4000,0.0000,13.0717,25.0151,28.7474,9.8308
5.4500,0.0000,13.3818,25.5415,28.9080,10.1014
5.5000,0.0000,13.7022,26.0686,29.0627,10.3710
5.5500,0.0000,14.0329,26.5959,29.2115,10.6393
5.6000,0.0000,14.3740,27.1232,29.3544,10.9062
5.6500,0.0000,14.7255,27.6499,29.4912,11.1716
5.7000,0.0000,15.0875,28.1757,29.6220,11.4353
5.7500,0.0000,15.4599,28.7001,29.7465,11.6971
5.8000,0.0000,15.8427,29.2227,29.8648,11.9569
5.8500,0.0000,16.2359,29.7430,29.9768,12.2145
5.9000,0.0000,16.6392,30.2608,30.0823,12.4697
5.9500,0.0000,17.0527,30.7754,30.1813,12.7224
6.0000,0.0000,17.4761,31.2866,30.2737,12.9725
6.0500,0.0000,17.9094,31.7939,30.3596,13.2197
6.1000,0.0000,18.3524,32.2969,30.4395,13.4639
6.1500,0.0000,18.8048,32.7952,30.5143,13.7049
6.2000,0.0000,19.2665,33.2883,30.5845,13.9427
6.2500,0.0000,19.7373,33.7759,30.6508,14.1770
6.3000,0.0000,20.2169,34.2576,30.7137,14.4078
6.3500,0.0000,20.7051,34.7330,30.7738,14.6348
6.4000,0.0000,21.2015,35.2017,30.8316,14.8580
6.4500,0.0000,21.7060,35.6633,30.8875,15.0772
6.5000,0.0000,22.2181,36.1176,30.9420,15.2924
6.5500,0.0000,22.7376,36.5641,30.9954,15.5033
6.6000,0.0000,23.2642,37.0025,31.0482,15.7100
6.6500,0.0000,23.7975,37.4324,31.1006,15.9122
6.7000,0.0000,24.3372,37.8537,31.1529,16.1099
6.7500,0.0000,24.8828,38.2659,31.2054,16.3030
6.8000,0.0000,25.4340,38.6687,31.2584,16.4915
6.8500,0.0000,25.9905,39.0619,31.3120,16.6752
6.9000,0.0000,26.5518,39.4453,31.3665,16.8541
6.9500,0.0000,27.1174,39.8184,31.4220,17.0281
7.0000,0.0000,27.6871,40.1812,31.4787,17.1972
7.0500,0.0000,28.2604,40.5334,31.5366,17.3613
7.1000,0.0000,28.8368,40.8747,31.5959,17.5204
7.1500,0.0000,29.4159,41.2050,31.6568,17.6745
7.2000,0.0000,29.9973,41.5241,31.7191,17.8236
7.2500,0.0000,30.5805,41.8318,31.7831,17.9676
7.3000,0.0000,31.1650,42.1279,31.8487,18.1065
7.3500,0.0000,31.7504,42.4124,31.9160,18.2404
7.4000,0.0000,32.3363,42.6850,31.9850,18.3693
7.4500,0.0000,32.9221,42.9457,32.0556,18.4932
7.5000,0.0000,33.5074,43.1944,32.1279,18.6121
7.5500,0.0000,34.0917,43.4310,32.2019,18.7261
7.6000,0.0000,34.6749,43.6554,32.2784,18.8353
7.6500,0.0000,35.2567,43.8676,32.3580,18.9396
7.7000,0.0000,35.8369,44.0675,32.4415,19.0393
7.7500,0.0000,36.4152,44.2552,32.5294,19.1342
7.8000,0.0000,36.9914,44.4306,32.6223,19.2247
7.8500,0.0000,37.5652,44.5938,32.7208,19.3106
7.9000,0.0000,38.1363,44.7447,32.8254,19.3923
7.9500,0.0000,38.7044,44.8835,32.9363,19.4697
8.0000,0.0000,39.2693,45.0101,33.0540,19.5430
8.0500,0.0000,39.8305,45.1246,33.1788,19.6123
8.1000,0.0000,40.3878,45.2272,33.3110,19.6779
8.1500,0.0000,40.9408,45.3179,33.4507,19.7397
8.2000,0.0000,41.4893,45.3968,33.5983,19.7981
8.2500,0.0000,42.0328,45.4641,33.7537,19.8531
8.3000,0.0000,42.5709,45.5199,33.9172,19.9050
8.3500,0.0000,43.1035,45.5643,34.0887,19.9539
8.4000,0.0000,43.6300,45.5975,34.2683,20.0000
8.4500,0.0000,44.1501,45.6198,34.4560,20.0436
8.5000,0.0000,44.6635,45.6312,34.6517,20.0848
8.5500,0.0000,45.1697,45.6319,34.8553,20.1238
8.6000,0.0000,45.6686,45.6223,35.0668,20.1609
8.6500,0.0000,46.1596,45.6024,35.2859,20.1963
8.7000,0.0000,46.6424,45.5726,35.5124,20.2303
8.7500,0.0000,47.1167,45.5330,35.7461,20.2630
8.8000,0.0000,47.5821,45.4839,35.9869,20.2948
8.8500,0.0000,48.0383,45.4256,36.2343,20.3259
8.9000,0.0000,48.4850,45.3583,36.4881,20.3565
8.9500,0.0000,48.9218,45.2822,36.7479,20.3869
9.0000,0.0000,49.3484,45.1977,37.0133,20.4174
9.0500,0.0000,49.7645,45.1052,37.2841,20.4482
9.1000,0.0000,50.1698,45.0055,37.5605,20.4793
9.1500,0.0000,50.5640,44.8999,37.8429,20.5108
9.2000,0.0000,50.9468,44.7893,38.1315,20.5427
9.2500,0.0000,51.3180,44.6746,38.4264,20.5751
9.3000,0.0000,51.6773,44.5569,38.7277,20.6081
9.3500,0.0000,52.0245,44.4370,39.0355,20.6416
9.4000,0.0000,52.3594,44.3157,39.3497,20.6759
9.4500,0.0000,52.6817,44.1939,39.6702,20.7111
9.5000,0.0000,52.9912,44.0722,39.9968,20.7473
9.5500,0.0000,53.2879,43.9514,40.3291,20.7846
9.6000,0.0000,53.5716,43.8322,40.6669,20.8232
9.6500,0.0000,53.8420,43.7151,41.0098,20.8634
9.7000,0.0000,54.0992,43.6007,41.3572,20.9052
9.7500,0.0000,54.3430,43.4896,41.7087,20.9489
9.8000,0.0000,54.5734,43.3822,42.0636,20.9947
9.8500,0.0000,54.7903,43.2789,42.4213,21.0429
9.9000,0.0000,54.9937,43.1802,42.7810,21.0935
9.9500,0.0000,55.1836,43.0864,43.1419,21.1469
10.0000,0.0000,55.3601,42.9978,43.5032,21.2033
10.0500,0.0000,55.5231,42.9147,43.8640,21.2629
10.1000,0.0000,55.6729,42.8375,44.2238,21.3260
10.1500,0.0000,55.8094,42.7668,44.5822,21.3929
10.2000,0.0000,55.9329,42.7030,44.9387,21.4637
10.2500,0.0000,56.0436,42.6465,45.2929,21.5387
10.3000,0.0000,56.1415,42.5977,45.6442,21.6182
10.3500,0.0000,56.2270,42.5570,45.9922,21.7024
10.4000,0.0000,56.3004,42.5248,46.3362,21.7915
10.4500,0.0000,56.3616,42.5012,46.6757,21.8859
10.5000,0.0000,56.4101,42.4867,47.0100,21.9856
10.5500,0.0000,56.4457,42.4816,47.3387,22.0910
10.6000,0.0000,56.4686,42.4865,47.6612,22.2016
10.6500,0.0000,56.4791,42.5023,47.9773,22.3173
10.7000,0.0000,56.4778,42.5295,48.2863,22.4378
10.7500,0.0000,56.4649,42.5688,48.5879,22.5627
10.8000,0.0000,56.4408,42.6207,48.8817,22.6918
10.8500,0.0000,56.4060,42.6857,49.1676,22.8249
10.9000,0.0000,56.3609,42.7643,49.4453,22.9618
10.9500,0.0000,56.3060,42.8568,49.7147,23.1024
11.0000,0.0000,56.2415,42.9634,49.9755,23.2463
11.0500,0.0000,56.1680,43.0846,50.2274,23.3935
