time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0002,0.0000,0.0000,0.0000
0.1000,0.0000,0.0012,0.0000,0.0001,0.0000
0.1500,0.0000,0.0041,0.0000,0.0002,0.0000
0.2000,0.0000,0.0095,0.0000,0.0004,0.0000
0.2500,0.0000,0.0183,0.0000,0.0008,0.0000
0.3000,0.0000,0.0311,0.0000,0.0014,0.0000
0.3500,0.0000,0.0487,0.0000,0.0022,0.0000
0.4000,0.0000,0.0717,0.0000,0.0033,0.0000
0.4500,0.0000,0.1006,0.0000,0.0047,0.0000
0.5000,0.0000,0.1360,0.0000,0.0064,0.0000
0.5500,0.0000,0.1784,0.0000,0.0085,0.0000
0.6000,0.0000,0.2282,0.0000,0.0109,0.0000
0.6500,0.0000,0.2859,0.0000,0.0138,0.0000
0.7000,0.0000,0.3518,0.0000,0.0172,0.0000
0.7500,0.0000,0.4262,0.0000,0.0211,0.0000
0.8000,0.0000,0.5095,0.0000,0.0255,0.0000
0.8500,0.0000,0.6020,0.0000,0.0305,0.0000
0.9000,0.0000,0.7038,0.0000,0.0360,0.0000
0.9500,0.0000,0.8152,0.0000,0.0422,0.0000
1.0000,0.0000,0.9364,0.0000,0.0490,0.0000
1.0500,0.0000,1.0674,0.0000,0.0565,0.0000
1.1000,0.0000,1.2085,0.0000,0.0646,0.0000
1.1500,0.0000,1.3596,0.0000,0.0735,0.0000
1.2000,0.0000,1.5208,0.0000,0.0832,0.0000
1.2500,0.0000,1.6922,0.0000,0.0937,0.0000
1.3000,0.0000,1.8737,0.0000,0.1049,0.0000
1.3500,0.0000,2.0654,0.0000,0.1170,0.0000
1.4000,0.0000,2.2671,0.0000,0.1299,0.0000
1.4500,0.0000,2.4789,0.0000,0.1437,0.0000
1.5000,0.0000,2.7006,0.0000,0.1584,0.0000
1.5500,0.0000,2.9321,0.0000,0.1741,0.0001
1.6000,0.0000,3.1730,0.0004,0.1910,0.0011
1.6500,0.0000,3.4228,0.0012,0.2094,0.0037
1.7000,0.0000,3.6813,0.0029,0.2295,0.0087
1.7500,0.0000,3.9479,0.0056,0.2517,0.0167
1.8000,0.0000,4.2222,0.0095,0.2762,0.0284
1.8500,0.0000,4.5039,0.0148,0.3031,0.0444
1.9000,0.0000,4.7925,0.0217,0.3327,0.0652
1.9500,0.0000,5.0876,0.0305,0.3652,0.0914
2.0000,0.0000,5.3888,0.0412,0.4007,0.1235
2.0500,0.0000,5.6956,0.0539,0.4394,0.1617
2.1000,0.0000,6.0077,0.0689,0.4815,0.2067
2.1500,0.0000,6.3247,0.0862,0.5270,0.2586
2.2000,0.0000,6.6461,0.1059,0.5762,0.3178
2.2500,0.0000,6.9715,0.1282,0.6290,0.3846
2.3000,0.0000,7.3006,0.1531,0.6856,0.4593
2.3500,0.0000,7.6329,0.1807,0.7462,0.5420
2.4000,0.0000,7.9680,0.2110,0.8107,0.6329
2.4500,0.0000,8.3056,0.2440,0.8792,0.7321
2.5000,0.0000,8.6453,0.2799,0.9518,0.8398
2.5500,0.0000,8.9867,0.3187,1.0285,0.9561
2.6000,0.0000,9.3294,0.3603,1.1093,1.0809
2.6500,0.0000,9.6730,0.4048,1.1943,1.2144
