time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0002,0.0001,0.0001
0.1000,0.0000,0.0001,0.0013,0.0010,0.0011
0.1500,0.0000,0.0004,0.0043,0.0033,0.0037
0.2000,0.0000,0.0009,0.0100,0.0076,0.0087
0.2500,0.0000,0.0018,0.0192,0.0147,0.0167
0.3000,0.0000,0.0031,0.0328,0.0251,0.0284
0.3500,0.0000,0.0049,0.0514,0.0393,0.0444
0.4000,0.0000,0.0073,0.0756,0.0579,0.0652
0.4500,0.0000,0.0104,0.1062,0.0813,0.0914
0.5000,0.0000,0.0142,0.1437,0.1101,0.1235
0.5500,0.0000,0.0188,0.1887,0.1446,0.1617
0.6000,0.0000,0.0243,0.2415,0.1852,0.2067
0.6500,0.0000,0.0307,0.3028,0.2322,0.2586
0.7000,0.0000,0.0381,0.3730,0.2861,0.3178
0.7500,0.0000,0.0467,0.4523,0.3471,0.3846
0.8000,0.0000,0.0563,0.5412,0.4155,0.4593
0.8500,0.0000,0.0672,0.6400,0.4916,0.5420
0.9000,0.0000,0.0794,0.7489,0.5755,0.6329
0.9500,0.0000,0.0929,0.8681,0.6675,0.7321
1.0000,0.0000,0.1078,0.9980,0.7677,0.8398
1.0500,0.0000,0.1241,1.1386,0.8763,0.9561
1.1000,0.0000,0.1419,1.2902,0.9935,1.0809
1.1500,0.0000,0.1613,1.4527,1.1192,1.2144
1.2000,0.0000,0.1823,1.6264,1.2538,1.3566
1.2500,0.0000,0.2049,1.8111,1.3970,1.5073
1.3000,0.0000,0.2293,2.0071,1.5492,1.6666
1.3500,0.0000,0.2554,2.2142,1.7101,1.8344
1.4000,0.0000,0.2833,2.4325,1.8800,2.0106
1.4500,0.0000,0.3130,2.6619,2.0587,2.1951
1.5000,0.0000,0.3446,2.9023,2.2462,2.3877
1.5500,0.0000,0.3782,3.1536,2.4425,2.5885
1.6000,0.0000,0.4134,3.4161,2.6472,2.7978
1.6500,0.0000,0.4500,3.6897,2.8600,3.0165
1.7000,0.0000,0.4880,3.9745,3.0805,3.2449
1.7500,0.0000,0.5269,4.2707,3.3086,3.4835
1.8000,0.0000,0.5668,4.5783,3.5437,3.7327
1.8500,0.0000,0.6074,4.8971,3.7856,3.9930
1.9000,0.0000,0.6486,5.2271,4.0339,4.2644
1.9500,0.0000,0.6901,5.5684,4.2883,4.5474
2.0000,0.0000,0.7320,5.9206,4.5486,4.8421
2.0500,0.0000,0.7740,6.2838,4.8143,5.1485
2.1000,0.0000,0.8162,6.6576,5.0852,5.4667
2.1500,0.0000,0.8583,7.0420,5.3610,5.7969
2.2000,0.0000,0.9003,7.4367,5.6413,6.1389
2.2500,0.0000,0.9421,7.8414,5.9258,6.4927
2.3000,0.0000,0.9838,8.2559,6.2143,6.8582
2.3500,0.0000,1.0251,8.6799,6.5065,7.2353
2.4000,0.0000,1.0661,9.1130,6.8019,7.6237
2.4500,0.0000,1.1068,9.5550,7.1005,8.0232
2.5000,0.0000,1.1472,10.0054,7.4018,8.4336
2.5500,0.0000,1.1871,10.4639,7.7057,8.8545
2.6000,0.0000,1.2266,10.9301,8.0117,9.2857
2.6500,0.0000,1.2658,11.4036,8.3197,9.7268
2.7000,0.0000,1.3046,11.8840,8.6294,10.1775
2.7500,0.0000,1.3431,12.3709,8.9406,10.6372
2.8000,0.0000,1.3812,12.8637,9.2529,11.1056
2.8500,0.0000,1.4190,13.3621,9.5662,11.5822
2.9000,0.0000,1.4566,13.8655,9.8801,12.0665
2.9500,0.0000,1.4939,14.3736,10.1945,12.5581
3.0000,0.0000,1.5311,14.8857,10.5091,13.0564
3.0500,0.0000,1.5682,15.4016,10.8237,13.5608
3.1000,0.0000,1.6053,15.9215,11.1378,14.0705
3.1500,0.0000,1.6423,16.4456,11.4508,14.5848
3.2000,0.0000,1.6795,16.9741,11.7625,15.1027
3.2500,0.0000,1.7168,17.5072,12.0722,15.6235
3.3000,0.0000,1.7543,18.0450,12.3797,16.1463
3.3500,0.0000,1.7922,18.5877,12.6845,16.6703
3.4000,0.0000,1.8305,19.1352,12.9863,17.1948
3.4500,0.0000,1.8693,19.6875,13.2847,17.7188
3.5000,0.0000,1.9087,20.2445,13.5793,18.2417
3.5500,0.0000,1.9488,20.8062,13.8699,18.7626
3.6000,0.0000,1.9896,21.3724,14.1562,19.2808
3.6500,0.0000,2.0314,21.9429,14.4380,19.7955
3.7000,0.0000,2.0741,22.5176,14.7148,20.3060
3.7500,0.0000,2.1179,23.0961,14.9866,20.8114
3.8000,0.0000,2.1629,23.6783,15.2532,21.3112
3.8500,0.0000,2.2093,24.2637,15.5142,21.8045
3.9000,0.0000,2.2570,24.8521,15.7696,22.2907
3.9500,0.0000,2.3063,25.4431,16.0191,22.7691
4.0000,0.0000,2.3571,26.0364,16.2627,23.2391
4.0500,0.0000,2.4098,26.6315,16.5002,23.6999
4.1000,0.0000,2.4642,27.2280,16.7315,24.1510
4.1500,0.0000,2.5206,27.8254,16.9564,24.5917
4.2000,0.0000,2.5791,28.4234,17.1750,25.0214
4.2500,0.0000,2.6398,29.0214,17.3872,25.4396
4.3000,0.0000,2.7027,29.6189,17.5928,25.8456
4.3500,0.0000,2.7681,30.2155,17.7919,26.2390
4.4000,0.0000,2.8359,30.8106,17.9844,26.6192
4.4500,0.0000,2.9064,31.4037,18.1703,26.9858
4.5000,0.0000,2.9795,31.9943,18.3497,27.3381
4.5500,0.0000,3.0555,32.5820,18.5226,27.6759
4.6000,0.0000,3.1344,33.1666,18.6898,27.9985
4.6500,0.0000,3.2163,33.7482,18.8522,28.3057
4.7000,0.0000,3.3013,34.3266,19.0105,28.5970
4.7500,0.0000,3.3895,34.9019,19.1655,28.8720
4.8000,0.0000,3.4810,35.4739,19.3179,29.1304
4.8500,0.0000,3.5760,36.0424,19.4683,29.3718
4.9000,0.0000,3.6744,36.6072,19.6175,29.5960
4.9500,0.0000,3.7764,37.1683,19.7660,29.8026
5.0000,0.0000,3.8820,37.7253,19.9145,29.9914
5.0500,0.0000,3.9914,38.2780,20.0635,30.1622
5.1000,0.0000,4.1046,38.8262,20.2135,30.3147
5.1500,0.0000,4.2217,39.3696,20.3649,30.4487
5.2000,0.0000,4.3427,39.9078,20.5184,30.5642
5.2500,0.0000,4.4678,40.4407,20.6743,30.6609
5.3000,0.0000,4.5970,40.9679,20.8330,30.7386
5.3500,0.0000,4.7303,41.4890,20.9948,30.7974
5.4000,0.0000,4.8678,42.0037,21.1603,30.8372
5.4500,0.0000,5.0097,42.5117,21.3296,30.8579
5.5000,0.0000,5.1558,43.0127,21.5032,30.8594
5.5500,0.0000,5.3063,43.5063,21.6812,30.8418
5.6000,0.0000,5.4612,43.9921,21.8640,30.8051
5.6500,0.0000,5.6206,44.4699,22.0517,30.7495
5.7000,0.0000,5.7844,44.9393,22.2447,30.6752
5.7500,0.0000,5.9528,45.3999,22.4430,30.5825
5.8000,0.0000,6.1257,45.8514,22.6470,30.4717
5.8500,0.0000,6.3031,46.2935,22.8566,30.3432
5.9000,0.0000,6.4852,46.7259,23.0722,30.1973
5.9500,0.0000,6.6718,47.1483,23.2937,30.0342
6.0000,0.0000,6.8630,47.5603,23.5213,29.8545
6.0500,0.0000,7.0590,47.9618,23.7552,29.6584
6.1000,0.0000,7.2601,48.3533,23.9955,29.4461
6.1500,0.0000,7.4669,48.7353,24.2427,29.2177
6.2000,0.0000,7.6798,49.1082,24.4970,28.9735
6.2500,0.0000,7.8994,49.4726,24.7587,28.7136
6.3000,0.0000,8.1260,49.8288,25.0279,28.4383
6.3500,0.0000,8.3600,50.1773,25.3050,28.1479
6.4000,0.0000,8.6018,50.5185,25.5899,27.8426
6.4500,0.0000,8.8516,50.8527,25.8830,27.5229
6.5000,0.0000,9.1098,51.1803,26.1842,27.1890
6.5500,0.0000,9.3765,51.5016,26.4937,26.8414
6.6000,0.0000,9.6520,51.8170,26.8115,26.4805
6.6500,0.0000,9.9365,52.1266,27.1377,26.1066
6.7000,0.0000,10.2301,52.4308,27.4722,25.7204
6.7500,0.0000,10.5330,52.7298,27.8151,25.3221
6.8000,0.0000,10.8452,53.0241,28.1663,24.9125
6.8500,0.0000,11.1669,53.3137,28.5257,24.4919
