time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0002,0.0000
0.1000,0.0000,0.0000,0.0002,0.0014,0.0004
0.1500,0.0000,0.0000,0.0006,0.0047,0.0012
0.2000,0.0000,0.0000,0.0014,0.0109,0.0029
0.2500,0.0000,0.0000,0.0028,0.0206,0.0056
0.3000,0.0000,0.0000,0.0047,0.0344,0.0095
0.3500,0.0000,0.0000,0.0074,0.0530,0.0148
0.4000,0.0000,0.0000,0.0109,0.0765,0.0217
0.4500,0.0000,0.0000,0.0152,0.1055,0.0305
0.5000,0.0000,0.0000,0.0206,0.1400,0.0412
0.5500,0.0000,0.0000,0.0270,0.1802,0.0539
0.6000,0.0000,0.0000,0.0344,0.2261,0.0689
0.6500,0.0000,0.0000,0.0431,0.2778,0.0862
0.7000,0.0000,0.0000,0.0530,0.3351,0.1059
0.7500,0.0000,0.0000,0.0641,0.3980,0.1282
0.8000,0.0000,0.0000,0.0765,0.4661,0.1531
0.8500,0.0000,0.0000,0.0903,0.5394,0.1807
0.9000,0.0000,0.0000,0.1055,0.6174,0.2110
0.9500,0.0000,0.0000,0.1220,0.6999,0.2440
1.0000,0.0000,0.0000,0.1400,0.7864,0.2799
1.0500,0.0000,0.0000,0.1593,0.8767,0.3187
1.1000,0.0000,0.0000,0.1802,0.9702,0.3603
1.1500,0.0000,0.0000,0.2024,1.0665,0.4048
1.2000,0.0000,0.0000,0.2261,1.1651,0.4522
1.2500,0.0000,0.0000,0.2512,1.2656,0.5024
1.3000,0.0000,0.0000,0.2778,1.3675,0.5555
1.3500,0.0000,0.0000,0.3057,1.4701,0.6115
1.4000,0.0000,0.0000,0.3351,1.5732,0.6702
1.4500,0.0000,0.0000,0.3659,1.6760,0.7317
1.5000,0.0000,0.0000,0.3980,1.7781,0.7959
1.5500,0.0000,0.0000,0.4314,1.8792,0.8626
1.6000,0.0000,0.0000,0.4663,1.9797,0.9312
1.6500,0.0000,0.0000,0.5027,2.0800,1.0008
1.7000,0.0000,0.0000,0.5408,2.1804,1.0707
1.7500,0.0000,0.0000,0.5806,2.2813,1.1406
1.8000,0.0000,0.0000,0.6221,2.3827,1.2098
1.8500,0.0000,0.0000,0.6655,2.4848,1.2780
1.9000,0.0000,0.0000,0.7107,2.5874,1.3449
1.9500,0.0000,0.0000,0.7579,2.6906,1.4103
2.0000,0.0000,0.0000,0.8070,2.7942,1.4741
2.0500,0.0000,0.0000,0.8581,2.8979,1.5360
2.1000,0.0000,0.0000,0.9111,3.0015,1.5962
2.1500,0.0000,0.0000,0.9662,3.1048,1.6545
2.2000,0.0000,0.0000,1.0232,3.2074,1.7112
2.2500,0.0000,0.0000,1.0821,3.3089,1.7663
2.3000,0.0000,0.0000,1.1430,3.4089,1.8200
2.3500,0.0000,0.0000,1.2059,3.5071,1.8724
2.4000,0.0000,0.0000,1.2706,3.6030,1.9238
2.4500,0.0000,0.0000,1.3372,3.6963,1.9745
2.5000,0.0000,0.0000,1.4056,3.7864,2.0248
2.5500,0.0000,0.0000,1.4758,3.8731,2.0748
2.6000,0.0000,0.0000,1.5476,3.9558,2.1251
2.6500,0.0000,0.0000,1.6211,4.0342,2.1758
2.7000,0.0000,0.0000,1.6962,4.1079,2.2274
2.7500,0.0000,0.0000,1.7729,4.1765,2.2801
2.8000,0.0000,0.0000,1.8509,4.2397,2.3344
2.8500,0.0000,0.0000,1.9304,4.2972,2.3906
2.9000,0.0000,0.0000,2.0111,4.3486,2.4490
2.9500,0.0000,0.0000,2.0930,4.3937,2.5101
3.0000,0.0000,0.0000,2.1761,4.4323,2.5740
3.0500,0.0000,0.0000,2.2602,4.4642,2.6414
3.1000,0.0000,0.0000,2.3455,4.4891,2.7132
3.1500,0.0000,0.0000,2.4322,4.5070,2.7905
3.2000,0.0000,0.0000,2.5205,4.5178,2.8743
3.2500,0.0000,0.0000,2.6104,4.5214,2.9657
3.3000,0.0000,0.0000,2.7021,4.5178,3.0654
3.3500,0.0000,0.0000,2.7956,4.5070,3.1743
3.4000,0.0000,0.0000,2.8912,4.4891,3.2932
3.4500,0.0000,0.0000,2.9887,4.4642,3.4227
3.5000,0.0000,0.0000,3.0883,4.4323,3.5635
3.5500,0.0000,0.0000,3.1900,4.3937,3.7162
3.6000,0.0000,0.0000,3.2938,4.3486,3.8811
3.6500,0.0000,0.0000,3.3998,4.2972,4.0588
3.7000,0.0000,0.0000,3.5079,4.2397,4.2495
3.7500,0.0000,0.0000,3.6182,4.1765,4.4536
3.8000,0.0000,0.0000,3.7305,4.1079,4.6713
3.8500,0.0000,0.0000,3.8448,4.0342,4.9026
3.9000,0.0000,0.0000,3.9612,3.9558,5.1478
3.9500,0.0000,0.0000,4.0797,3.8731,5.4067
4.0000,0.0000,0.0000,4.2003,3.7864,5.6795
4.0500,0.0000,0.0000,4.3230,3.6963,5.9659
4.1000,0.0000,0.0000,4.4479,3.6030,6.2657
4.1500,0.0000,0.0000,4.5749,3.5071,6.5789
4.2000,0.0000,0.0000,4.7042,3.4089,6.9050
4.2500,0.0000,0.0000,4.8357,3.3089,7.2438
4.3000,0.0000,0.0000,4.9694,3.2074,7.5948
4.3500,0.0000,0.0000,5.1052,3.1048,7.9576
4.4000,0.0000,0.0000,5.2432,3.0015,8.3317
4.4500,0.0000,0.0000,5.3833,2.8980,8.7165
4.5000,0.0000,0.0000,5.5255,2.7949,9.1115
4.5500,0.0000,0.0001,5.6698,2.6929,9.5162
4.6000,0.0000,0.0011,5.8166,2.5927,9.9302
4.6500,0.0000,0.0037,5.9665,2.4952,10.3534
4.7000,0.0000,0.0087,6.1198,2.4009,10.7856
4.7500,0.0000,0.0167,6.2769,2.3105,11.2264
4.8000,0.0000,0.0284,6.4383,2.2243,11.6754
4.8500,0.0000,0.0444,6.6042,2.1427,12.1323
4.9000,0.0000,0.0652,6.7749,2.0660,12.5964
4.9500,0.0000,0.0914,6.9507,1.9940,13.0672
5.0000,0.0000,0.1235,7.1318,1.9269,13.5442
5.0500,0.0000,0.1617,7.3185,1.8645,14.0267
5.1000,0.0000,0.2067,7.5108,1.8076,14.5140
5.1500,0.0000,0.2586,7.7090,1.7568,15.0055
5.2000,0.0000,0.3178,7.9132,1.7130,15.5004
5.2500,0.0000,0.3846,8.1234,1.6770,15.9979
5.3000,0.0000,0.4593,8.3398,1.6495,16.4972
5.3500,0.0000,0.5420,8.5623,1.6312,16.9976
5.4000,0.0000,0.6329,8.7911,1.6227,17.4983
5.4500,0.0000,0.7321,9.0261,1.6246,17.9985
5.5000,0.0000,0.8398,9.2673,1.6376,18.4974
5.5500,0.0000,0.9561,9.5147,1.6622,18.9942
5.6000,0.0000,1.0809,9.7682,1.6988,19.4880
5.6500,0.0000,1.2144,10.0278,1.7478,19.9783
5.7000,0.0000,1.3566,10.2934,1.8097,20.4641
5.7500,0.0000,1.5073,10.5648,1.8848,20.9449
5.8000,0.0000,1.6666,10.8421,1.9733,21.4199
5.8500,0.0000,1.8344,11.1249,2.0753,21.8886
5.9000,0.0000,2.0106,11.4133,2.1910,22.3502
5.9500,0.0000,2.1951,11.7071,2.3204,22.8045
6.0000,0.0000,2.3877,12.0060,2.4635,23.2507
6.0500,0.0000,2.5884,12.3100,2.6202,23.6886
6.1000,0.0000,2.7971,12.6189,2.7910,24.1176
6.1500,0.0000,3.0140,12.9323,2.9764,24.5371
6.2000,0.0000,3.2391,13.2503,3.1767,24.9467
6.2500,0.0000,3.4724,13.5725,3.3919,25.3463
6.3000,0.0000,3.7138,13.8988,3.6222,25.7355
6.3500,0.0000,3.9634,14.2289,3.8673,26.1144
6.4000,0.0000,4.2210,14.5626,4.1269,26.4829
6.4500,0.0000,4.4865,14.8997,4.4005,26.8415
6.5000,0.0000,4.7598,15.2399,4.6874,27.1903
6.5500,0.0000,5.0407,15.5831,4.9869,27.5297
6.6000,0.0000,5.3293,15.9290,5.2990,27.8594
6.6500,0.0000,5.6252,16.2773,5.6237,28.1787
6.7000,0.0000,5.9284,16.6278,5.9613,28.4873
6.7500,0.0000,6.2386,16.9803,6.3116,28.7846
6.8000,0.0000,6.5556,17.3346,6.6747,29.0701
6.8500,0.0000,6.8791,17.6903,7.0504,29.3434
6.9000,0.0000,7.2090,18.0473,7.4388,29.6040
6.9500,0.0000,7.5450,18.4053,7.8396,29.8516
7.0000,0.0000,7.8867,18.7640,8.2526,30.0858
7.0500,0.0000,8.2338,19.1233,8.6778,30.3062
7.1000,0.0000,8.5861,19.4830,9.1147,30.5125
7.1500,0.0000,8.9431,19.8427,9.5632,30.7044
7.2000,0.0000,9.3047,20.2022,10.0229,30.8815
7.2500,0.0000,9.6703,20.5615,10.4934,31.0436
7.3000,0.0000,10.0397,20.9201,10.9745,31.1905
7.3500,0.0000,10.4125,21.2779,11.4657,31.3219
7.4000,0.0000,10.7882,21.6347,11.9666,31.4377
7.4500,0.0000,11.1666,21.9903,12.4768,31.5376
7.5000,0.0000,11.5472,22.3445,12.9958,31.6216
7.5500,0.0000,11.9294,22.6970,13.5231,31.6894
7.6000,0.0000,12.3127,23.0474,14.0584,31.7410
7.6500,0.0000,12.6962,23.3949,14.6012,31.7763
7.7000,0.0000,13.0790,23.7391,15.1512,31.7953
7.7500,0.0000,13.4605,24.0795,15.7079,31.7978
