time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001,material_cello_001#2,material_prism_001#2,material_scri_001#2,material_stringquartet_001#2
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5500,0.0000,0.0000,0.0044,0.0000,0.0000,0.0007,0.0039,0.0000,0.0000
0.6000,0.0000,0.0000,0.0241,0.0000,0.0000,0.0037,0.0214,0.0000,0.0000
0.6500,0.0000,0.0000,0.0518,0.0000,0.0000,0.0081,0.0459,0.0000,0.0000
0.7000,0.0000,0.0000,0.0715,0.0000,0.0000,0.0111,0.0634,0.0000,0.0000
0.7500,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
0.8000,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
0.8500,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
0.9000,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
0.9500,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
1.0000,0.0000,0.0000,0.0759,0.0000,0.0000,0.0118,0.0673,0.0000,0.0000
1.0500,0.0000,0.0048,0.0759,0.0000,0.0127,0.0111,0.0673,0.0000,0.0000
1.1000,0.0000,0.0262,0.0759,0.0000,0.0695,0.0081,0.0673,0.0000,0.0000
1.1500,0.0000,0.0563,0.0759,0.0000,0.1494,0.0037,0.0673,0.0000,0.0000
1.2000,0.0000,0.0778,0.0759,0.0000,0.2063,0.0007,0.0673,0.0000,0.0000
1.2500,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.3000,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.3500,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.4000,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.4500,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.5000,0.0000,0.0825,0.0759,0.0000,0.2190,0.0000,0.0673,0.0000,0.0000
1.5500,0.0000,0.0845,0.0831,0.0000,0.2190,0.0000,0.0634,0.0000,0.0000
1.6000,0.0000,0.0936,0.1156,0.0000,0.2190,0.0000,0.0459,0.0000,0.0000
1.6500,0.0000,0.1063,0.1612,0.0000,0.2190,0.0000,0.0214,0.0000,0.0000
1.7000,0.0000,0.1153,0.1937,0.0000,0.2190,0.0000,0.0039,0.0000,0.0000
1.7500,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
1.8000,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
1.8500,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
1.9000,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
1.9500,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
2.0000,0.0000,0.1173,0.2009,0.0000,0.2190,0.0000,0.0000,0.0000,0.0000
2.0500,0.0000,0.1173,0.2688,0.0000,0.2389,0.0000,0.0402,0.0000,0.0353
2.1000,0.0000,0.1173,0.5730,0.0000,0.3285,0.0000,0.2201,0.0000,0.1932
2.1500,0.0000,0.1173,1.0009,0.0000,0.4545,0.0000,0.4733,0.0000,0.4155
2.2000,0.0000,0.1173,1.3051,0.0000,0.5441,0.0000,0.6532,0.0000,0.5735
2.2500,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.3000,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.3500,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.4000,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.4500,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.5000,0.0000,0.1173,1.3730,0.0000,0.5641,0.0000,0.6934,0.0000,0.6087
2.5500,0.0000,0.1105,1.2935,0.0000,0.5314,0.0000,0.6532,0.0000,0.5735
2.6000,0.0000,0.0801,0.9371,0.0000,0.3850,0.0000,0.4733,0.0000,0.4155
2.6500,0.0000,0.0372,0.4358,0.0000,0.1791,0.0000,0.2201,0.0000,0.1932
2.7000,0.0000,0.0068,0.0795,0.0000,0.0327,0.0000,0.0402,0.0000,0.0353
