time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001,material_cello_001#2,material_prism_001#2,material_scri_001#2,material_stringquartet_001#2
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0195,1.2228,0.4960,1.8446,2.0947,1.5395,2.6910,1.5679
0.1000,0.0000,0.1067,6.7016,2.7182,10.1096,11.4805,8.4372,14.7485,8.5932
0.1500,0.0000,0.2295,14.4097,5.8446,21.7377,24.6853,18.1418,31.7122,18.4771
0.2000,0.0000,0.3168,19.8885,8.0668,30.0027,34.0711,25.0395,43.7697,25.5024
0.2500,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.3000,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.3500,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.4000,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.4500,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.5000,0.0000,0.3362,21.1113,8.5627,31.8473,36.1658,26.5790,46.4607,27.0703
0.5500,0.0000,1.0409,21.6583,9.0828,31.9944,36.6155,27.1094,46.6270,27.4157
0.6000,0.0000,4.1981,24.1094,11.4131,32.6534,38.6303,29.4859,47.3719,28.9636
0.6500,0.0000,8.6400,27.5579,14.6916,33.5805,41.4650,32.8295,48.4199,31.1414
0.7000,0.0000,11.7972,30.0090,17.0219,34.2395,43.4798,35.2060,49.1648,32.6893
0.7500,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
0.8000,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
0.8500,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
0.9000,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
0.9500,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
1.0000,0.0000,12.5018,30.5561,17.5419,34.3865,43.9295,35.7364,49.3310,33.0348
1.0500,0.0000,13.1656,30.9755,18.0581,34.5900,44.1283,36.1046,49.3449,33.3515
1.1000,0.0000,16.1399,32.8548,20.3706,35.5017,45.0194,37.7540,49.4069,34.7706
1.1500,0.0000,20.3244,35.4988,23.6242,36.7843,46.2731,40.0746,49.4942,36.7672
1.2000,0.0000,23.2986,37.3781,25.9368,37.6960,47.1642,41.7240,49.5562,38.1864
1.2500,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.3000,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.3500,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.4000,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.4500,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.5000,0.0000,23.9624,37.7975,26.4529,37.8994,47.3631,42.0921,49.5701,38.5031
1.5500,0.0000,24.5368,37.9924,26.9562,38.0993,47.4495,42.2297,49.6003,38.7229
1.6000,0.0000,27.1102,38.8659,29.2116,38.9946,47.8369,42.8458,49.7354,39.7079
1.6500,0.0000,30.7307,40.0947,32.3847,40.2542,48.3819,43.7127,49.9256,41.0938
1.7000,0.0000,33.3041,40.9682,34.6401,41.1495,48.7693,44.3289,50.0608,42.0788
1.7500,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
1.8000,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
1.8500,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
1.9000,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
1.9500,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
2.0000,0.0000,33.8784,41.1631,35.1434,41.3493,48.8558,44.4664,50.0910,42.2986
2.0500,0.0000,34.2733,41.6992,35.4478,41.5084,48.8651,44.9648,50.0078,42.5100
2.1000,0.0000,36.0427,44.1014,36.8118,42.2216,48.9071,47.1979,49.6350,43.4572
2.1500,0.0000,38.5321,47.4809,38.7307,43.2249,48.9662,50.3397,49.1106,44.7898
2.2000,0.0000,40.3015,49.8830,40.0946,43.9380,49.0081,52.5728,48.7379,45.7370
2.2500,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.3000,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.3500,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.4000,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.4500,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.5000,0.0000,40.6964,50.4192,40.3990,44.0972,49.0175,53.0712,48.6547,45.9484
2.5500,0.0000,40.7613,50.5001,40.6847,44.2003,49.0700,53.1681,48.8704,46.1193
2.6000,0.0000,41.0518,50.8626,41.9646,44.6622,49.3053,53.6024,49.8371,46.8850
2.6500,0.0000,41.4605,51.3727,43.7652,45.3120,49.6363,54.2135,51.1972,47.9624
2.7000,0.0000,41.7510,51.7353,45.0451,45.7739,49.8715,54.6478,52.1639,48.7281
2.7500,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
2.8000,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
2.8500,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
2.9000,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
2.9500,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
3.0000,0.0000,41.8158,51.8162,45.3308,45.8770,49.9240,54.7447,52.3796,48.8990
3.0500,0.0000,42.1054,51.7185,45.6429,45.9574,50.0562,54.6355,52.5866,48.8655
3.1000,0.0000,43.4031,51.2809,47.0417,46.3177,50.6482,54.1460,53.5139,48.7153
3.1500,0.0000,45.2289,50.6651,49.0097,46.8247,51.4812,53.4573,54.8186,48.5040
3.2000,0.0000,46.5266,50.2274,50.4085,47.1850,52.0733,52.9679,55.7459,48.3538
3.2500,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.3000,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.3500,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.4000,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.4500,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.5000,0.0000,46.8163,50.1297,50.7207,47.2654,52.2054,52.8586,55.9529,48.3203
3.5500,0.0000,46.6568,50.4929,51.0861,47.5111,51.7206,53.1936,55.7450,48.7087
3.6000,0.0000,45.9424,52.1202,52.7236,48.6118,49.5484,54.6947,54.8135,50.4489
3.6500,0.0000,44.9372,54.4096,55.0274,50.1605,46.4923,56.8067,53.5030,52.8973
3.7000,0.0000,44.2228,56.0369,56.6649,51.2612,44.3201,58.3078,52.5715,54.6376
3.7500,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
3.8000,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
3.8500,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
3.9000,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
3.9500,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
4.0000,0.0000,44.0634,56.4000,57.0303,51.5069,43.8353,58.6428,52.3636,55.0260
4.0500,0.0000,43.4652,56.4685,55.0081,50.8860,43.9886,58.7160,51.1261,54.7083
4.1000,0.0000,40.7849,56.7754,45.9474,48.1041,44.6753,59.0440,45.5812,53.2849
4.1500,0.0000,37.0140,57.2071,33.1998,44.1902,45.6415,59.5055,37.7802,51.2822
4.2000,0.0000,34.3338,57.5140,24.1390,41.4083,46.3282,59.8335,32.2353,49.8588
4.2500,0.0000,33.7356,57.5825,22.1168,40.7874,46.4815,59.9067,30.9978,49.5411
4.3000,0.0000,33.7356,57.5825,22.1168,40.7874,46.4815,59.9067,30.9978,49.5411
4.3500,0.0000,33.7356,57.5825,22.1168,40.7874,46.4815,59.9067,30.9978,49.5411
4.4000,0.0000,33.7356,57.5825,22.1168,40.7874,46.4815,59.9067,30.9978,49.5411
4.4500,0.0000,33.7356,57.5825,22.1168,40.7874,46.4815,59.9067,30.9978,49.5411
