time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.3475,0.0000,1.0426,0.0000
0.1000,0.0000,1.9046,0.0000,5.7139,0.0000
0.1500,0.0000,4.0954,0.0000,12.2861,0.0000
0.2000,0.0000,5.6525,0.0000,16.9574,0.0000
0.2500,0.0000,6.0000,0.0000,18.0000,0.0000
0.3000,0.0000,6.0000,0.0000,18.0000,0.0000
0.3500,0.0000,6.0000,0.0000,18.0000,0.0000
0.4000,0.0000,6.0000,0.0000,18.0000,0.0000
0.4500,0.0000,6.0000,0.0000,18.0000,0.0000
0.5000,0.0000,6.0000,0.0000,18.0000,0.0000
0.5500,0.0000,5.6525,0.0000,18.0000,1.3901
0.6000,0.0000,4.0954,0.0000,18.0000,7.6186
0.6500,0.0000,1.9046,0.0000,18.0000,16.3814
0.7000,0.0000,0.3475,0.0000,18.0000,22.6099
0.7500,0.0000,0.0000,0.0000,18.0000,24.0000
0.8000,0.0000,0.0000,0.0000,18.0000,24.0000
0.8500,0.0000,0.0000,0.0000,18.0000,24.0000
0.9000,0.0000,0.0000,0.0000,18.0000,24.0000
0.9500,0.0000,0.0000,0.0000,18.0000,24.0000
1.0000,0.0000,0.0000,0.0000,18.0000,24.0000
1.0500,0.0000,0.3475,0.0000,18.3475,24.0000
1.1000,0.0000,1.9046,0.0000,19.9046,24.0000
1.1500,0.0000,4.0954,0.0000,22.0954,24.0000
1.2000,0.0000,5.6525,0.0000,23.6525,24.0000
1.2500,0.0000,6.0000,0.0000,24.0000,24.0000
1.3000,0.0000,6.0000,0.0000,24.0000,24.0000
1.3500,0.0000,6.0000,0.0000,24.0000,24.0000
1.4000,0.0000,6.0000,0.0000,24.0000,24.0000
1.4500,0.0000,6.0000,0.0000,24.0000,24.0000
1.5000,0.0000,6.0000,0.0000,24.0000,24.0000
1.5500,0.0000,5.6525,0.6950,23.3050,26.0851
1.6000,0.0000,4.0954,3.8093,20.1907,35.4278
1.6500,0.0000,1.9046,8.1907,15.8093,48.5722
1.7000,0.0000,0.3475,11.3050,12.6950,57.9149
1.7500,0.0000,0.0000,12.0000,12.0000,60.0000
1.8000,0.0000,0.0000,12.0000,12.0000,60.0000
1.8500,0.0000,0.0000,12.0000,12.0000,60.0000
1.9000,0.0000,0.0000,12.0000,12.0000,60.0000
1.9500,0.0000,0.0000,12.0000,12.0000,60.0000
2.0000,0.0000,0.0000,12.0000,12.0000,60.0000
