time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.6950,0.6950,2.0851,0.0000
0.1000,0.0000,3.8093,3.8093,11.4278,0.0000
0.1500,0.0000,8.1907,8.1907,24.5722,0.0000
0.2000,0.0000,11.3050,11.3050,33.9149,0.0000
0.2500,0.0000,12.0000,12.0000,36.0000,0.0000
0.3000,0.0000,12.0000,12.0000,36.0000,0.0000
0.3500,0.0000,12.0000,12.0000,36.0000,0.0000
0.4000,0.0000,12.0000,12.0000,36.0000,0.0000
0.4500,0.0000,12.0000,12.0000,36.0000,0.0000
0.5000,0.0000,12.0000,12.0000,36.0000,0.0000
0.5500,0.0000,12.6950,14.0851,38.0851,2.0851
0.6000,0.0000,15.8093,23.4278,47.4278,11.4278
0.6500,0.0000,20.1907,36.5722,60.5722,24.5722
0.7000,0.0000,23.3050,45.9149,69.9149,33.9149
0.7500,0.0000,24.0000,48.0000,72.0000,36.0000
0.8000,0.0000,24.0000,48.0000,72.0000,36.0000
0.8500,0.0000,24.0000,48.0000,72.0000,36.0000
0.9000,0.0000,24.0000,48.0000,72.0000,36.0000
0.9500,0.0000,24.0000,48.0000,72.0000,36.0000
1.0000,0.0000,24.0000,48.0000,72.0000,36.0000
1.0500,0.0000,25.3901,50.0851,73.6218,38.0851
1.1000,0.0000,31.6186,59.4278,80.8883,47.4278
1.1500,0.0000,40.3814,72.5722,91.1117,60.5722
1.2000,0.0000,46.6099,81.9149,98.3782,69.9149
1.2500,0.0000,48.0000,84.0000,100.0000,72.0000
1.3000,0.0000,48.0000,84.0000,100.0000,72.0000
1.3500,0.0000,48.0000,84.0000,100.0000,72.0000
1.4000,0.0000,48.0000,84.0000,100.0000,72.0000
1.4500,0.0000,48.0000,84.0000,100.0000,72.0000
1.5000,0.0000,48.0000,84.0000,100.0000,72.0000
1.5500,0.0000,46.6099,84.9267,100.0000,73.6218
1.6000,0.0000,40.3814,89.0790,100.0000,80.8883
1.6500,0.0000,31.6186,94.9210,100.0000,91.1117
1.7000,0.0000,25.3901,99.0733,100.0000,98.3782
1.7500,0.0000,24.0000,100.0000,100.0000,100.0000
1.8000,0.0000,24.0000,100.0000,100.0000,100.0000
1.8500,0.0000,24.0000,100.0000,100.0000,100.0000
1.9000,0.0000,24.0000,100.0000,100.0000,100.0000
1.9500,0.0000,24.0000,100.0000,100.0000,100.0000
2.0000,0.0000,24.0000,100.0000,100.0000,100.0000
2.0500,0.0000,24.0000,100.0000,97.9149,100.0000
2.1000,0.0000,24.0000,100.0000,88.5722,100.0000
2.1500,0.0000,24.0000,100.0000,75.4278,100.0000
2.2000,0.0000,24.0000,100.0000,66.0851,100.0000
2.2500,0.0000,24.0000,100.0000,64.0000,100.0000
2.3000,0.0000,24.0000,100.0000,64.0000,100.0000
2.3500,0.0000,24.0000,100.0000,64.0000,100.0000
2.4000,0.0000,24.0000,100.0000,64.0000,100.0000
2.4500,0.0000,24.0000,100.0000,64.0000,100.0000
2.5000,0.0000,24.0000,100.0000,64.0000,100.0000
2.5500,0.0000,24.3475,98.9574,65.0426,100.0000
2.6000,0.0000,25.9046,94.2861,69.7139,100.0000
