time_seconds,goal,material_cello_001,material_prism_001,material_scri_001,material_stringquartet_001
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.0000,0.1195,0.3330
0.1000,0.0000,0.0000,0.0000,0.6551,1.8250
0.1500,0.0000,0.0000,0.0000,1.4085,3.9241
0.2000,0.0000,0.0000,0.0000,1.9441,5.4162
0.2500,0.0000,0.0000,0.0000,2.0636,5.7492
0.3000,0.0000,0.0000,0.0000,2.0636,5.7492
0.3500,0.0000,0.0000,0.0000,2.0636,5.7492
0.4000,0.0000,0.0000,0.0000,2.0636,5.7492
0.4500,0.0000,0.0000,0.0000,2.0636,5.7492
0.5000,0.0000,0.0000,0.0000,2.0636,5.7492
0.5500,0.0000,0.0000,0.0000,2.0636,5.7492
0.6000,0.0000,0.0000,0.0000,2.0636,5.7492
0.6500,0.0000,0.0000,0.0000,2.0636,5.7492
0.7000,0.0000,0.0000,0.0000,2.0636,5.7492
0.7500,0.0000,0.0000,0.0000,2.0636,5.7492
0.8000,0.0000,0.0000,0.0000,2.0636,5.7492
0.8500,0.0000,0.0000,0.0000,2.0636,5.7492
0.9000,0.0000,0.0000,0.0000,2.0636,5.7492
0.9500,0.0000,0.0000,0.0000,2.0636,5.7492
1.0000,0.0000,0.0000,0.0000,2.0636,5.7492
1.0500,0.0000,0.0000,0.0000,2.0636,5.7492
1.1000,0.0000,0.0000,0.0000,2.0636,5.7492
1.1500,0.0000,0.0000,0.0000,2.0636,5.7492
1.2000,0.0000,0.0000,0.0000,2.0636,5.7492
1.2500,0.0000,0.0000,0.0000,2.0636,5.7492
1.3000,0.0000,0.0000,0.0000,2.0636,5.7492
1.3500,0.0000,0.0000,0.0000,2.0636,5.7492
1.4000,0.0000,0.0000,0.0000,2.0636,5.7492
1.4500,0.0000,0.0000,0.0000,2.0636,5.7492
1.5000,0.0000,0.0000,0.0000,2.0636,5.7492
1.5500,0.0000,0.0000,0.0000,2.0636,5.7492
